SubProduct-ID,Name,,,,,,,
SP129,Dove Nourishing Oil Care Shampoo ,180,Ml,Bottle,HDPE,,,
SP130,Dove Nourishing Oil Care Shampoo ,340,Ml,Bottle,HDPE,,,
SP131,Dove Split End Rescue Shampoo,7,Ml,Sachet,,,,
SP132,Dove Split End Rescue Shampoo,80,Ml,Bottle,HDPE,,,
SP133,Dove Split End Rescue Shampoo,180,Ml,Bottle,HDPE,,,
SP134,Dove Split End Rescue Shampoo,340,Ml,Bottle,HDPE,,,
SP135,Dove Dryness Care Shampoo,80,Ml,Bottle,HDPE,,,
SP136,Dove Dryness Care Shampoo,180,Ml,Bottle,HDPE,,,
SP137,Dove Dryness Care Shampoo,340,Ml,Bottle,HDPE,,,
SP138,Pears Germ Shield with Mint Extract Soap,,,,,,,
SP139,Pears Pure and Gentle Bar,,,,,,,
SP140,Pears Pure & Gentle Hand Wash,,,,,,,
SP141,Pears – Pure & Gentle Cleansing Face wash,,,,,,,
SP142,Pears Oil Clear Soap,,,,,,,
SP143,Pears Oil Clear Hand Wash,,,,,,,
SP144,Pears Pure and Gentle Shower Gel,,,,,,,
SP145,Pears Fresh and Gentle Cleansing Face wash,,,,,,,
SP146,Pears Fresh Renewal Face Wash,,,,,,,
SP147,Pears Fresh Renewal Ultra Mild Face Wash,,,,,,,
SP148,Pears Oil Clear Glow Ultra Mild Face Wash,,,,,,,
SP149,Pears Oil Clear Cleansing Face Wash,,,,,,,
SP150,Rexona Sport Defence underarm roll-on,50,Ml,Tube,Plastic,,,
SP151,Rexona Advanced Whitening Deodorant,150,Ml,Bottle,Tin,,,
SP152,Rexona Shower Fresh Deodorant,150,Ml,Bottle,Tin,,,
SP153,Rexona Aloe Vera Deodorant,150,Ml,Bottle,Tin,,,
SP154,Rexona Aloe Vera Roll On,25,Ml,Tube,Plastic,,,
SP155,Rexona Aloe Vera Roll On,50,Ml,Tube,Plastic,,,
SP156,Rexona Powder Dry Roll On,25,Ml,Tube,Plastic,,,
SP157,Rexona Powder Dry Roll On,50,Ml,Tube,Plastic,,,
SP158,Rexona Shower Fresh Roll On,25,Ml,Tube,Plastic,,,
SP159,Rexona Shower Fresh Roll On,50,Ml,Tube,Plastic,,,
SP160,Surf excel Matic Liquid Front Load,500,Ml,Bottle,HDPE,,,
SP161,Surf excel Matic Liquid Front Load,1020,Ml,Bottle,HDPE,,,
SP162,Surf excel Matic Liquid Top Load,500,Ml,Bottle,HDPE,,,
SP163,Surf excel Matic Liquid Top Load,1020,Ml,Bottle,HDPE,,,
SP164,Surf excel Quickwash,60,Gms,Wrapper,,,,
SP165,Surf excel Quickwash,200,Gms,Wrapper,,,,
SP166,Surf excel Quickwash,500,Gms,Wrapper,,,,
SP167,Surf excel Quickwash,1000,Gms,Wrapper,,,,
SP168,Surf excel Quickwash,2000,Gms,Wrapper,,,,
SP169,Surf excel Easy Wash,95,Gms,Wrapper,,,,
SP170,Surf excel Easy Wash,200,Gms,Wrapper,,,,
SP171,Surf excel Easy Wash,700,Gms,Wrapper,,,,
SP172,Surf excel Easy Wash,1500,Gms,Wrapper,,,,
SP173,Surf excel Easy Wash,3000,Gms,Wrapper,,,,
SP174,Surf excel Easy Wash,4000,Gms,Wrapper,,,,
SP175,Surf excel Matic Front Load,500,Gms,Cardboard,Paper,,,
SP176,Surf excel Matic Front Load,1000,Gms,Cardboard,Paper,,,
SP177,Surf excel Matic Front Load,2000,Gms,Cardboard,Paper,,,
SP178,Surf excel Matic Top Load,500,Gms,Cardboard,Paper,,,
SP179,Surf excel Matic Top Load,1000,Gms,Cardboard,Paper,,,
SP180,Surf excel Matic Top Load,2000,Gms,Cardboard,Paper,,,
SP181,Surf excel Liquid Detergent,200,Ml,Bottle,HDPE,,,
SP182,Surf excel Liquid Detergent,500,Ml,Bottle,HDPE,,,
SP183,Surf excel Liquid Detergent,1020,Ml,Bottle,HDPE,,,
SP184,Surf Excel Bar,100,Gms,Wrapper,,,,
SP185,Surf Excel Bar,150,Gms,Wrapper,,,,
SP186,Surf Excel Bar,250,Gms,Wrapper,,,,
SP187,Surf Excel Bar,400,Gms,Wrapper,,,,
SP188,Surf Excel Bar,800,Gms,Wrapper,,,,
SP189,Rin Bar,250,Gms,Wrapper,,,,
SP190,Rin Detergent Hand wash Powder,12,Gms,Wrapper,,,,
SP191,Rin Detergent Hand wash Powder,55,Gms,Wrapper,,,,
SP192,Rin Detergent Hand wash Powder,130,Gms,Wrapper,,,,
SP193,Rin Detergent Hand wash Powder,250,Gms,Wrapper,,,,
SP194,Rin Detergent Hand wash Powder,500,Gms,Wrapper,,,,
SP195,Rin Detergent Hand wash Powder,1000,Gms,Wrapper,,,,
SP196,Rin Detergent Hand wash Powder,2000,Gms,Wrapper,,,,
SP197,Rin Detergent Hand wash Powder,4000,Gms,Wrapper,,,,
SP198,Rin Detergent Hand wash Powder,6000,Gms,Wrapper,,,,
SP199,Rin Refresh Detergent Powder with Lemon and Rose,500,Gms,Wrapper,,,,
SP200,Rin Refresh Detergent Powder with Lemon and Rose,1000,Gms,Wrapper,,,,
SP201,Rin Anti-bacterial Detergent Powder with Neem,500,Gms,Wrapper,,,,
SP202,Rin Anti-bacterial Detergent Powder with Neem,1000,Gms,Wrapper,,,,
SP203,Rin Matic Washing Machine Detergent Powder,1000,Gms,Cardboard,Paper,,,
SP204,Rin Ala Fabric Whitener and Bleach,200,Ml,Bottle,HDPE,,,
SP205,Rin Ala Fabric Whitener and Bleach,500,Ml,Bottle,HDPE,,,
SP206,Vim Dishwash Gel - Lemon,155,Ml,Packet,,,,
SP207,Vim Dishwash Gel - Lemon,225,Ml,Packet,,,,
SP208,Vim Dishwash Gel - Lemon,250,Ml,Bottle,PET ,,,
SP209,Vim Dishwash Gel - Lemon,500,Ml,Bottle,PET ,,,
SP210,Vim Dishwash Gel - Lemon,750,Ml,Bottle,PET ,,,
SP211,Vim Dishwash Gel - Lemon,1000,Ml,Bottle,PET ,,,
SP212,Vim Dishwash Gel - Lemon,1500,Ml,Bottle,PET ,,,
SP213,Vim Dishwash Bar,75,Gms,Wrapper,,,,75
SP214,Vim Dishwash Bar,125,Gms,Wrapper,,,,125
SP215,Vim Dishwash Bar,200,Gms,Wrapper,,,,200
SP216,Vim Dishwash Bar,300,Gms,Wrapper,,,,300
SP217,Vim Dishwash Liquid - Lemon,500,Ml,Packet,,,,
SP218,Vim Dishwash Bar - Lemon,500,Gms,Tub,,,,
SP219,Vim Dishwash Gel - Lime,250,Ml,Bottle,PET ,,,
SP220,Vim Dishwash Gel - Lime,500,Ml,Bottle,PET ,,,
SP221,Vim Antigerm Dishwash Gel - Neem,500,Ml,Bottle,PET ,,,
SP222,Vim Dishwash Liquid - Lemon,155,Ml,Packet,,,,
SP223,Vim Dishwash Liquid - Lemon,225,Ml,Packet,,,,
SP224,Vim Dishwash Liquid - Lemon,250,Ml,Bottle,PET ,,,
SP225,Vim Dishwash Liquid - Lemon,500,Ml,Bottle,PET ,,,
SP226,Vim Dishwash Liquid - Lemon,750,Ml,Bottle,PET ,,,
SP227,Vim Dishwash Liquid - Lemon,1000,Ml,Bottle,PET ,,,
SP228,Vim Dishwash Liquid - Lemon,1500,Ml,Bottle,PET ,,,
SP229,,,,,,,,
SP230,,,,,,,,
SP231,,,,,,,,
SP232,,,,,,,,
SP233,,,,,,,,
SP234,,,,,,,,
SP235,,,,,,,,
SP236,,,,,,,,
SP237,Himalaya Purifying Neem Face Wash:,,,,,,,
SP238,Himalaya Herbals Kajal:,,,,,,,
SP239,Himalaya Herbals Purifying Neem Face Pack:,,,,,,,
SP240,Himalaya Herbals Clarifying Mud Mask:,,,,,,,
SP241,Himalaya Revitalizing Night Cream:,,,,,,,
SP242,Himalaya Herbals Smoothing Foot Scrub:,,,,,,,
SP243,Himalaya Herbals Foot Care Cream:,,,,,,,
SP244,Himalaya Herbals Under Eye Cream:,,,,,,,
SP245,Himalaya Herbals Lip Balm:,,,,,,,
SP246,Himalaya Herbals Soothing Body Lotion:,,,,,,,
SP247,Himalaya Herbals Protein Hair Cream:,,,,,,,
SP248,Himalaya Herbals Strawberry Shine Lip Balm,,,,,,,
SP249,Himalaya Moisturizing Aloe Vera Face Wash,,,,,,,
SP250,Himalaya Herbals Deep Cleansing Milk,,,,,,,
SP251,Himalaya Herbals Gentle Refreshing Toner,,,,,,,
SP252,Himalaya's Active Fresh Gel ,40,Gms,Tube,,,,
SP253,Himalaya's Active Fresh Gel ,100,Gms,Tube,,,,
SP254,Himalaya’s Age Defying Hand Cream,100,ML,Tube,,,,
SP255,Himalaya’s Almond & Rose Soap ,75,Gms,Wrapper,,,,
SP256,Himalaya’s Almond & Rose Soap ,125,Gms,Wrapper,,,,
SP257,Himalaya’s Aloe & Cucumber Refreshing Body Lotion,100,ML,Bottle,HDPE,,,
SP258,Himalaya’s Aloe & Cucumber Refreshing Body Lotion,200,ML,Bottle,HDPE,,,
SP259,Himalaya Herbals Anti-Wrinkle Cream,50,Gms,Tub,,,,
SP260,,,,,,,,
SP261,,,,,,,,
SP262,,,,,,,,
SP263,,,,,,,,
SP264,,,,,,,,
SP265,7 Up Bottle ,600,ML,Bottle,PET,,,
SP266,7 Up Bottle ,1000,ML,Bottle,PET,,,
SP267,7 Up Bottle ,1750,ML,Bottle,PET,,,
SP268,7 Up Bottle ,2000,ML,Bottle,PET,,,
SP269,7 Up Nimbooz,350,ML,Bottle,PET,,,
SP270,7 Up Lemon Flavour Can ,250,ML,Tin,,,,
SP271,ABK Chip Chop Fish On Stick ,70,Gms,Wrapper,,,,
SP272,ABK Dog Dry Bath Clean Shampoo,240,ML,Bottle,HDPE,,,
SP273,ABK Dog Lavender Shampoo,200,ML,Bottle,HDPE,,,
SP274,Act II Microwave Popcorn Butter Flavour ,33,Gms,Wrapper,,,,
SP275,Act II Microwave Popcorn Butter Flavour,99,Gms,Wrapper,,,,
SP276,Act II Microwave Popcorn Butter Flavour,255,Gms,Wrapper,,,,
SP277,Act II Microwave Popcorn Butter Lovers,33,Gms,Wrapper,,,,
SP278,Act II Microwave Popcorn Butter Lovers,99,Gms,Wrapper,,,,
SP279,Act II Microwave Popcorn Natural,33,Gms,Wrapper,,,,
SP280,Act II Microwave Popcorn Natural,99,Gms,Wrapper,,,,
SP281,Act II Microwave Popcorn Butter Lovers,297,Gms,Wrapper,,,,
SP282,Adidas Team Force Deo Body Spray,150,ML,Tin,,,,
SP283,Air Wick Lavender Dew Air Freshener Spray,300,ML,Bottle,HDPE,,,
SP284,Al Kabeer Green Peas,500,Gms,Wrapper,,,,
SP285,Al Kabeer Green Peas,1000,Gms,Wrapper,,,,
SP286,Al Kabeer Krazee Chicken Nuggets,400,Gms,Wrapper,,,,
SP287,Al Kabeer Krazee Chicken Nuggets,750,Gms,Wrapper,,,,
SP288,Al Kabeer Chicken Cocktail Sausages,250,Gms,Wrapper,,,,
SP289,ALL OUT® ULTRA POWER+ FLORAL REFILL,,Pack,Plastic ,,Cardboard,Paper,
SP290,ALL OUT® ULTRA POWER+™ FAN,,Pack,Plastic ,,Cardboard,Paper,
SP291,All Out Ultra Refill 45 ml,45,ML,Bottle,PET,Cardboard,Paper,8 906006 430648
SP292,ALL OUT® ULTRA POWER+™ FAN REFILL,,ML,Bottle,PET,Cardboard,Paper,
SP293,ALL OUT® ULTRA POWER+™ REFILL,,ML,Bottle,PET,Cardboard,Paper,
SP294,ALL OUT® ULTRA POWER+™SLIDER,,Pack,Plastic ,,Cardboard,Paper,
SP295,ALL OUT® CRAWLING INSECT KILLER,,ML,Tin,,,,
SP296,ALL OUT® ALL NIGHT,,ML,Tin,,,,
SP297,ALL OUT® FLYING INSECT KILLER,,ML,Tin,,,,
SP298,ALL OUT® MULTI INSECT KILLER,,ML,Tin,,,,
SP299,ALL OUT® 12-HOUR ANTI DENGUE COIL,,Pack,Cardboard,Paper,,,
SP300,ALL OUT® 8-HOUR COIL,,Pack,Cardboard,Paper,,,
SP301,ALL OUT® ANTI DENGUE COIL,,Pack,Cardboard,Paper,,,
SP302,ALL OUT® FLASHGUARD,,Pack,Cardboard,Paper,,,
SP303,Batik Bazaar Glade® Aerosol,,ML,Tin,,,,
SP304,Laugh Wildly Glade® Aerosol,,ML,Tin,,,,
SP305,Live Fully Glade® Aerosol,,ML,Tin,,,,
SP306,Matcha Garden Glade® Aerosol,,ML,Tin,,,,
SP307,Exotic Garden Glade® Aerosol,,ML,Tin,,,,
SP308,Exotic Spice Glade® Aerosol,,ML,Tin,,,,
SP309,Floral Perfection™ Glade® Aerosol,,ML,Tin,,,,
SP310,Floral Perfection™ Glade® Aerosol,,ML,Tin,,,,
SP311,Mint Ice Glade® Sport™ Refill,,ML,Bottle,PET,Cardboard,Paper,
SP312,Lavender Marine Glade® Sport™ Refill,,ML,Bottle,PET,Cardboard,Paper,
SP313,New Car Glade® Sport™ Refill,,ML,Bottle,PET,Cardboard,Paper,
SP314,Ocean Escape™ Glade® Sport™ Refill,,ML,Bottle,PET,Cardboard,Paper,
SP315,Mint Ice Glade® Sport™ Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP316,Lavender Marine Glade® Sport™ Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP317,Morning Freshness Glade® Sport™ Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP318,New Car Glade® Sport™ Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP319,Ocean Escape™ Glade® Sport™ Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP320,Batik Bazaar Glade® Gel,,,Tin,,Plastic ,,
SP321,Laugh Wildly Glade® Gel,,,Tin,,Plastic ,,
SP322,Lavender Glade® Gel,,,Tin,,Plastic ,,
SP323,Live Fully Glade® Gel,,,Tin,,Plastic ,,
SP324,Matcha Garden Glade® Gel,,,Tin,,Plastic ,,
SP325,Fresh Lemon Glade® Gel,,,Tin,,Plastic ,,
SP326,Clean Linen Glade® Gel,,,Tin,,Plastic ,,
SP327,Floral Perfection™ Glade® Gel,,,Tin,,Plastic ,,
SP328,Jasmine Glade® Gel,,,Tin,,Plastic ,,
SP329,Batik Bazaar Glade® Automatic Spray Refill,,ML,Bottle,PET,Cardboard,Paper,
SP330,Matcha Garden Glade® Automatic Spray Refill,,ML,Bottle,PET,Cardboard,Paper,
SP331,Ocean Escape™ Glade® Automatic Spray Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP332,Batik Bazaar Glade® Touch & Fresh® Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP333,Laugh Wildly Glade® Touch & Fresh® Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP334,Live Fully Glade® Touch & Fresh® Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP335,Exotic Garden Glade® Touch & Fresh® Starter Kit,,Pack,Plastic ,,Cardboard,Paper,
SP336,Exotic Spice Glade® Touch & Fresh® Starter Kit,,,,,,,
SP337,Floral Perfection™ Glade® Touch & Fresh® Starter Kit,,,,,,,
SP338,Fresh Lemon Glade® Touch & Fresh® Starter Kit,,,,,,,
SP339,Wild Lavender Glade® Touch & Fresh® Starter Kit,,,,,,,
SP340,Batik Bazaar Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP341,Laugh Wildly Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP342,Live Fully Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP343,Matcha Garden Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP344,Fresh Lemon Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP345,Wild Lavender Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP346,Exotic Garden Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP347,Exotic Spice Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP348,Floral Perfection™ Glade® Touch & Fresh® Refill,,,Tin,,Cardboard,Paper,
SP349,KIWI® SHOE POLISH Black ,15,Gms,Tin,,,,
SP350,KIWI® SHOE POLISH Dark Tan,15,Gms,Tin,,,,
SP351,KIWI® SHOE POLISH Burgundy,15,Gms,Tin,,,,
SP352,KIWI® SHOE POLISH Neutral,15,Gms,Tin,,,,
SP353,KIWI® SHOE POLISH Light Tan,15,Gms,Tin,,,,
SP354,KIWI® SHOE POLISH Black,40,Gms,Tin,,,,
SP355,KIWI® SHOE POLISH Dark Tan,40,Gms,Tin,,,,
SP356,KIWI® WAX RICH COLOUR SHINE Black ,75,Ml,Bottle,Plastic,,,
SP357,KIWI® WAX RICH COLOUR SHINE Brown,75,Ml,Bottle,Plastic,,,
SP358,KIWI® WAX RICH COLOUR SHINE Neutral,75,Ml,Bottle,Plastic,,,
SP359,KIWI® COLOUR SHINE Black,40,Ml,Bottle,Plastic,,,
SP360,KIWI® WAX RICH COLOUR SHINE Brown,40,Ml,Bottle,Plastic,,,
SP361,KIWI® EXPRESS SHINE Black,7,Ml,Tub,Plastic,,,
SP362,KIWI® EXPRESS SHINE Neutral ,7,Ml,Tub,Plastic,,,
SP363,MR MUSCLE® POWER GEL,,,Bottle,Plastic,,,
SP364,MR MUSCLE®POWER GRANULES,,,Bottle,Plastic,,,
SP365,MR MUSCLE® PLATINUM BATHROOM,,,Bottle,Plastic,,,
SP366,MR MUSCLE® PLATINUM KITCHEN,,,Bottle,Plastic,,,
SP367,MR MUSCLE® DRAIN FOAMER,,,Bottle,Plastic,,,
SP368,MR MUSCLE® OVEN CLEANER,,,Bottle,Plastic,,,
SP369,MR MUSCLE® PLATINUM SHOWER SHINE,,,Bottle,Plastic,,,
SP370,MR MUSCLE®ADVANCED POWER BATHROOM CLEANER,,,Bottle,Plastic,,,
SP371,MR MUSCLE® ADVANCED POWER SHOWER SHINE,,,Bottle,Plastic,,,
SP372,MR MUSCLE® ADVANCED POWER WINDOW & GLASS,,,Bottle,Plastic,,,
SP373,MR MUSCLE® ORANGE ACTION FLOOR WIPES,,,,,,,
SP374,MR MUSCLE® BATHROOM CLEANER,,,Bottle,Plastic,,,
SP375,MR MUSCLE® KITCHEN CLEANER,,,Bottle,Plastic,,,
SP376,MR MUSCLE® WINDOW & GLASS CLEANER,,,Bottle,Plastic,,,
SP377,MR MUSCLE® SHOWER SHINE,,,Bottle,Plastic,,,
SP378,Ambi Pur Sky Breeze Vent Clip Car Air Freshener,2,Ml,,Plastic,Cardboard,Paper,
SP379,Ambi Pur Lavender Comfort Vent Clip Car Air Freshener,2,Ml,,Plastic,Cardboard,Paper,
SP380,Ambi Pur New Zealand Spring Vent Clip Car Air Freshener,2,Ml,,Plastic,Cardboard,Paper,
SP381,Ambi Pur Thai Dragon Fruit Vent Clip Car Freshener,2,Ml,,Plastic,Cardboard,Paper,
SP382,Ambi Pur Light Citrus Vent Clip Car Air Freshener,2,Ml,,Plastic,Cardboard,Paper,
SP383,Ambi Pur Set & Refresh Linen & Sky ,5.5,Ml,,Plastic,Cardboard,Paper,
